GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mycleann,mycleann,OrderDistribution,56,0,6,0,16,0,7,0,4,0
mycleann,mycleann,BusinessReport,24,0,0,0,10,0,7,0,7,0
mycleann,mycleann,OrderDistributor,90,0,12,0,28,0,9,0,3,0
mycleann,mycleann,FirstClass,1439,0,62,0,308,0,42,0,5,0
mycleann,mycleann,Company,141,0,22,0,30,0,18,0,7,0
mycleann,mycleann,Admin,32,52,0,0,7,15,2,6,2,6
mycleann,mycleann,Customers,82,150,7,7,18,43,12,11,7,9
mycleann,mycleann,Orderr,30,0,0,0,12,0,6,0,6,0
mycleann,mycleann,Worker,91,0,4,0,23,0,9,0,7,0
mycleann,mycleann,Product,69,176,7,11,23,45,19,15,13,12
